queue_category,priority,source_type,authority_family,source_file,source_sha256,source_path,chunk_id,authority_unit_id,authority_version_id,citation,normalized_citation,title,rule_number,section,policy_number,policy_chapter,document_type,display_status,answer_scope,version_status,effective_label,valid_from,valid_to,requires_qa_signoff,warning_category,proposed_action,reviewer_role,production_impact,stop_condition,notes
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-1f7517bf8f03e5099c7cc39c,49d00b3f-a347-52ca-9302-36b450a96972,3b23bf5e-f436-5061-9281-4275371ef92a,,,Note,,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=annotation
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-b237a8ad8fea04375a9070cb,71f9fc30-9ca6-5d7b-a09d-61766d2d45f8,2a70c60d-28fa-546a-94be-40d19ee6d42b,Tenn. R. Evid. 101,tennrevid101,Rule 101. Scope.,101,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=advisory comment
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-0d85f12393f99dfb37b459a8,71f9fc30-9ca6-5d7b-a09d-61766d2d45f8,2a70c60d-28fa-546a-94be-40d19ee6d42b,Tenn. R. Evid. 101,tennrevid101,Rule 101. Scope.,101,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=case note
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-ad5c9026e570dc214517dfbd,71f9fc30-9ca6-5d7b-a09d-61766d2d45f8,2a70c60d-28fa-546a-94be-40d19ee6d42b,Tenn. R. Evid. 101,tennrevid101,Rule 101. Scope.,101,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=annotation
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-51801c3389b6ff387d0136a5,958e0e61-9738-5eca-b661-4118a9778a32,9f3d272f-51bb-5b1c-aee0-c180cfa92ff1,Tenn. R. Evid. 102,tennrevid102,Rule 102. Purpose and construction.,102,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=advisory comment
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-fc9a7b48befdd3a3e48babc5,958e0e61-9738-5eca-b661-4118a9778a32,9f3d272f-51bb-5b1c-aee0-c180cfa92ff1,Tenn. R. Evid. 102,tennrevid102,Rule 102. Purpose and construction.,102,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=case note
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-50602022201e51f8fb823086,958e0e61-9738-5eca-b661-4118a9778a32,9f3d272f-51bb-5b1c-aee0-c180cfa92ff1,Tenn. R. Evid. 102,tennrevid102,Rule 102. Purpose and construction.,102,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=annotation
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-2315c29e532f47b300bc2b1e,382bd1fc-23ef-5772-b8a4-d2894f0eee47,625d23da-0230-5409-94c6-cf45351e56b1,Tenn. R. Evid. 103,tennrevid103,Rule 103. Rulings on evidence.,103,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=annotation
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-9cd8d07a42f7db8c485dce4c,382bd1fc-23ef-5772-b8a4-d2894f0eee47,625d23da-0230-5409-94c6-cf45351e56b1,Tenn. R. Evid. 103,tennrevid103,Rule 103. Rulings on evidence.,103,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=advisory comment
restricted_lexis_content,High,rule,tenn_rules_evidence,Tenn. R. Evid..pdf,e61ffa2bef765e411807161f3fd470536dc2bd1a9d2b715a058c2df9dd589afe,Benchbook.ai Database Files/Tenn. R. Evid..pdf,bb-exp-4d25b6d11c29aa9b2fa35cc8,382bd1fc-23ef-5772-b8a4-d2894f0eee47,625d23da-0230-5409-94c6-cf45351e56b1,Tenn. R. Evid. 103,tennrevid103,Rule 103. Rulings on evidence.,103,,,,,restricted_pending_license_review,limited_evidentiary_procedural,current,,1900-01-01,,false,restricted by license,Adopt with revision,Owner plus license reviewer,Internal QA only; no production display or answer authority,License or display approval absent,restricted_category=case note
