artifact_type,source_queue,queue_category,priority,source_type,authority_family,source_file,source_sha256,source_path,chunk_id,authority_unit_id,authority_version_id,citation,normalized_citation,title,rule_number,section,policy_number,policy_chapter,document_type,display_status,answer_scope,version_status,effective_label,valid_from,valid_to,requires_qa_signoff,warning_category,current_value,proposed_value,proposed_action,decision_status,reviewer_role,reviewer_name,review_date,owner_escalation_required,production_impact,stop_condition,notes
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-3a3c86b991388273d365a870,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,Document header (application/authority/dates),9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-d08826f3a08397558300292a,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,Policy Statement:,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-372b2341439eacf1cf3e7790,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,Purpose:,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-0195084784fd6bab30e2c7ca,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,A. Office confidentiality,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-cb4225ec36ef1bb40e369141,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,B. Safeguarding of confidential information,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-6f426c416df508f94accd38e,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,C. Release of information,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-beda7ac9a45fe17b2f6ddeee,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,D. Record security and recovery,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-ac4fe6aad7342ef420651242,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,E. Records disposition,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-dbe34a5db1785e34c15becb7,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,F. Records destruction,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,136_9.4_Confidential_Client-Specific_Information.pdf,64b09d81aea9b2e6f40c9d8fae5c8d2de4242c901edc98d0a2aead39243ea01f,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch09_Child_Records/136_9.4_Confidential_Client-Specific_Information.pdf,bb-exp-e1568624fbee6b882c6968c8,ee973aa9-70ad-544a-acf0-142d9b51ef29,5548f873-14f7-5bcf-b7b3-29a47ef9bbaf,DCS Policy 9.4,dcspolicy94,Confidential Client-Specific Information,,G. Records Under Litigation Hold,9.4,Ch09_Child_Records,policy,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
